Un homme et une femme,I love you in Paris 60 - 70's,Francis Lai,160.3,0.553,0.372,1966ø
Theme From Love Story (Finale),Love Story,Francis Lai,230.0,0.553,0.372,1970ø
Theme From Love Story,Love Story,Francis Lai,204.8,0.695,0.372,1970ø
The Long Walk Home,Love Story,Francis Lai,90.6,0.553,0.372,1970ø
The Christmas Trees,Love Story,Francis Lai,168.2,0.553,0.372,1970ø
Slow du mariage,Le passager de la pluie (Original Soundtrack),Francis Lai,130.9,0.553,0.372,2003ø
Skating In Central Park,Love Story,Francis Lai,182.8,0.553,0.372,1970ø
Search For Jenny,Love Story,Francis Lai,184.5,0.553,0.372,1970ø
Piano Sonata No.12 In F K332: 1. Allegro,Love Story,Francis Lai,138.5,0.553,0.372,1970ø
Le viol,Le passager de la pluie (Original Soundtrack),Francis Lai,132.7,0.553,0.372,2003ø
La valse du mariage,Le passager de la pluie (Original Soundtrack),Francis Lai,123.2,0.553,0.372,2003ø
La maison du rendez-vous,Le passager de la pluie (Original Soundtrack),Francis Lai,142.9,0.553,0.372,2003ø
I Love You_ Phil,Love Story,Francis Lai,124.7,0.553,0.372,1970ø
Angoisse,Le passager de la pluie (Original Soundtrack),Francis Lai,47.5,0.553,0.372,2003ø
