Yksinpuhelu,Yksinpuhelu,Kotiteollisuus,340.2,0.587,0.497,2001ø
Voi luoja,Rakastaa / ei rakasta,Kotiteollisuus,194.4,0.587,0.497,2002ø
Virret soi,Tomusta ja tuhkasta,Kotiteollisuus,170.9,0.587,0.497,2000ø
Veri valuu maahan,Kultalusikka,Kotiteollisuus,213.3,0.587,0.497,2003ø
Veisu,Murheen mailla 1996-2007,Kotiteollisuus,300.0,0.587,0.497,2007ø
Valtakunta,Kuolleen kukan nimi,Kotiteollisuus,239.2,0.587,0.497,2002ø
Valomerkki,Murheen mailla 1996-2007,Kotiteollisuus,227.1,0.587,0.497,2007ø
Tuonelan koivut,Iankaikkinen,Kotiteollisuus,311.4,0.587,0.497,2006ø
Syli,7,Kotiteollisuus,373.5,0.587,0.497,2005ø
Suru,Murheen mailla 1996-2007,Kotiteollisuus,154.9,0.587,0.497,1999ø
Suomi nyt,Vieraan sanomaa,Kotiteollisuus,237.6,0.587,0.497,2005ø
Ruumiinlaulaja,Tomusta ja tuhkasta,Kotiteollisuus,478.8,0.587,0.497,2000ø
Rukous,Aamen,Kotiteollisuus,228.9,0.587,0.497,1998ø
Routa ei lopu ( on ilmoja pidelly),Routa ei lopu,Kotiteollisuus,206.2,0.587,0.497,1998ø
Routa ei lopu,Aamen,Kotiteollisuus,195.3,0.587,0.497,1998ø
Rautaportti,Tomusta ja tuhkasta,Kotiteollisuus,261.1,0.587,0.497,2000ø
Rakastan,Routa ei lopu,Kotiteollisuus,181.9,0.587,0.497,1999ø
Pullon henki,Iankaikkinen,Kotiteollisuus,363.9,0.587,0.497,2006ø
Kuoleva,Juoksu,Kotiteollisuus,187.6,0.587,0.497,1998ø
Kuningas mammona,Kultalusikka,Kotiteollisuus,320.6,0.587,0.497,2003ø
Kultalusikka,Kultalusikka,Kotiteollisuus,223.0,0.587,0.497,2004ø
Karhujen talo,Sotakoira,Kotiteollisuus,155.4,0.587,0.497,2008ø
Kadonneet,Iankaikkinen,Kotiteollisuus,220.2,0.587,0.497,2006ø
Juoksu,Murheen mailla 1996-2007,Kotiteollisuus,196.1,0.587,0.497,1998ø
Jos sanon,Murheen mailla 1996-2007,Kotiteollisuus,244.1,0.587,0.497,2000ø
Iankaikkinen,Iankaikkinen,Kotiteollisuus,253.2,0.587,0.497,2006ø
Harakat,Routa ei lopu,Kotiteollisuus,152.7,0.587,0.497,1998ø
Graniitti,Tomusta ja tuhkasta,Kotiteollisuus,270.1,0.587,0.497,2000ø
Enkeli,Tomusta ja tuhkasta,Kotiteollisuus,355.2,0.587,0.497,2000ø
Arkunnaula,Iankaikkinen,Kotiteollisuus,246.9,0.587,0.497,2006ø
Aamusta aamuun,Murheen mailla 1996-2007,Kotiteollisuus,380.2,0.587,0.497,2007ø
