Walk On,Beautiful,David Tao,185.5,0.482,0.433,2006ø
Regular Friends,Ultrasound,David Tao,287.7,0.482,0.433,1999ø
Different,I'M Ok,David Tao,283.3,0.482,0.433,1999ø
Tuberose,I'M Ok,David Tao,258.1,0.482,0.416,1999ø
Summer Love Triangle,Zero To Hero,David Tao,260.3,0.482,0.416,2009ø
Small Town Girl,Ultrasound,David Tao,295.4,0.482,0.416,1999ø
RE:DT,Zero To Hero,David Tao,314.5,0.482,0.416,2009ø
Rain,Ultrasound,David Tao,304.9,0.482,0.416,1999ø
Play,Zero To Hero,David Tao,217.9,0.482,0.416,2009ø
Melody,Black Tangerine,David Tao,268.9,0.482,0.416,2002ø
Leave,I'M Ok,David Tao,345.1,0.482,0.416,1999ø
Katrina,Black Tangerine,David Tao,266.2,0.482,0.416,2002ø
Doxology,I'M Ok,David Tao,45.8,0.482,0.416,1999ø
Dear God,Black Tangerine,David Tao,328.6,0.482,0.416,2002ø
Close To You,Ultrasound,David Tao,272.0,0.482,0.416,1999ø
Circus,I'M Ok,David Tao,257.7,0.482,0.416,1999ø
Chinese Lady,Zero To Hero,David Tao,274.3,0.482,0.416,2009ø
Catherine,The Great Leap,David Tao,210.1,0.482,0.416,2005ø
Answering Machine,David Tao,David Tao,295.9,0.482,0.416,1997ø
Angeline,I'M Ok,David Tao,296.6,0.482,0.416,1999ø
Amen,I'M Ok,David Tao,32.2,0.482,0.416,1999ø
Adoration,Zero To Hero,David Tao,298.9,0.482,0.416,2009ø
A Big Mess,Zero To Hero,David Tao,336.6,0.482,0.416,2009ø
