Tearjerker,Epithalamia,Astrobrite,331.6,0.503,0.386,2000ø
Radiofriendly,Crush,Astrobrite,240.6,0.503,0.386,2001ø
Peachfuzz,Crush,Astrobrite,313.9,0.503,0.386,2001ø
Lemondrop,Crush,Astrobrite,311.8,0.503,0.386,2001ø
Hopefully,Crush,Astrobrite,277.7,0.503,0.386,2001ø
Happysad,Crush,Astrobrite,139.3,0.503,0.386,2001ø
Crushed,Crush,Astrobrite,202.7,0.503,0.386,2001ø
Crasher,Crush,Astrobrite,247.9,0.503,0.386,2001ø
Comet,Crush,Astrobrite,221.4,0.503,0.386,2001ø
Butterflykiss,Crush,Astrobrite,182.8,0.503,0.386,2001ø
Bottlerocket,Crush,Astrobrite,194.7,0.503,0.386,2001ø
Blown,Crush,Astrobrite,210.4,0.503,0.386,2001ø
