Triple Quartet: First Movement,Triple Quartet,Steve Reich,430.6,0.753,0.426,2001ø
The Desert Music: Second Movement (moderate),Phases,Steve Reich,419.2,0.753,0.426,2006ø
The Desert Music: First Movement (fast),Phases,Steve Reich,474.0,0.753,0.426,2006ø
Sextet: 2nd Movement,Sextet / Six Marimbas,Steve Reich,252.5,0.753,0.426,1987ø
Pendulum music,An anthology of noise and electronic music vol.4,Steve Reich,447.1,0.753,0.426,2000ø
Hindenburg:  A Very Impressive Thing to See,Three Tales,Steve Reich,155.4,0.753,0.426,2003ø
Dolly:  Human Body Machine,Three Tales,Steve Reich,372.8,0.753,0.426,2003ø
Dolly:  Cloning,Three Tales,Steve Reich,165.1,0.753,0.426,2003ø
Bikini:  The Atoll - 1,Three Tales,Steve Reich,106.0,0.753,0.426,2003ø
Bikini:  In the Air - 3,Three Tales,Steve Reich,117.6,0.753,0.426,2003ø
Bikini:  In the Air - 1,Three Tales,Steve Reich,84.0,0.753,0.426,2003ø
