Yes/No,Unbalance,2562,368.3,0.312,0.425,2009ø
Who Are You Fooling?,Unbalance,2562,387.3,0.312,0.425,2009ø
Walkover,Aerial - vinyl exclusive,2562,332.2,0.312,0.425,2008ø
Unbalance,Unbalance,2562,441.1,0.312,0.425,2009ø
Third Wave,Tectonic Plates Vol. 2 XL Edition,2562,366.2,0.312,0.425,2009ø
Theorem,Aerial - vinyl exclusive,2562,358.0,0.312,0.425,2008ø
The Times,Aerial,2562,284.8,0.312,0.425,2008ø
Techno Dread,Aerial,2562,332.1,0.312,0.425,2008ø
Superflight,Unbalance,2562,461.6,0.312,0.425,2009ø
Redux,Radio Rothko,2562,217.4,0.312,0.425,2008ø
Narita,Unbalance,2562,308.4,0.312,0.425,2009ø
Morvern,Aerial,2562,290.8,0.312,0.425,2008ø
Moog Dub,Aerial,2562,277.9,0.312,0.425,2008ø
Love In Outer Space,Love In Outer Space / Third Wave,2562,295.2,0.312,0.425,2009ø
Like A Dream,Unbalance,2562,261.5,0.312,0.425,2009ø
Kontrol,Tectonic Plates Vol. 2 XL Edition,2562,291.6,0.312,0.425,2009ø
Greyscale,Aerial,2562,305.4,0.312,0.425,2008ø
Enforcers,Aerial,2562,349.7,0.312,0.425,2008ø
Dinosaur,Unbalance,2562,301.1,0.312,0.425,2009ø
Basin Dub,Aerial,2562,292.8,0.312,0.425,2008ø
