The Orange Theme (Tom Wax & Boris Alexander Remix),The Orange Theme (The Remixes),Cygnus X,491.7,0.567,0.393,2007ø
The Orange Theme (remastered),Hypermetrical,Cygnus X,391.8,0.567,0.393,1995ø
The Orange Theme (Bervoets & De Goeij Remix),Collected Works,Cygnus X,443.4,0.567,0.393,1999ø
Synchronism (Human Evolution Remix),Collected Works,Cygnus X,447.7,0.567,0.393,2003ø
Superstring (Rank 1's Radio Edit),Superstring,Cygnus X,190.4,0.567,0.393,2000ø
Superstring (Rank 1 Remix),Collected Works,Cygnus X,189.8,0.567,0.393,2000ø
Superstring (Rank 1 Deep Dub),Collected Works,Cygnus X,465.7,0.567,0.393,2003ø
Superstring (Original Mix),Vol I_ The Original Club Tracks,Cygnus X,473.0,0.567,0.393,1994ø
Superstring (Future Breeze Remix),Collected Works,Cygnus X,304.4,0.567,0.393,2001ø
Superstring,A State Of Trance Classics_ Volume 4,Cygnus X,493.0,0.558,0.393,1995ø
Positron 2002 (Armin van Buuren Remix),Positron 2002 - Single,Cygnus X,529.2,0.567,0.393,2003ø
Positron (Marco V Remix),Positron,Cygnus X,395.4,0.567,0.393,2003ø
Positron (Extended Version),Positron,Cygnus X,434.6,0.567,0.393,2003ø
Positron (Armin Van Buuren Remix),Collected Works,Cygnus X,529.1,0.567,0.393,2003ø
Introspective (G&M Project Remix),Collected Works,Cygnus X,442.9,0.567,0.393,2003ø
Indakasa (Space Diver Mix),Collected Works,Cygnus X,298.1,0.567,0.393,2003ø
Hypermetrical (remastered),Hypermetrical,Cygnus X,341.9,0.567,0.393,1995ø
