Young Son,The Contemporary Classics,Grand Puba,271.4,0.625,0.427,2004ø
Ya Know How It Goes (LP Version),Reel To Reel,Grand Puba,261.0,0.55,0.414,1992ø
Very Special (LP Version),2000,Grand Puba,313.1,0.55,0.414,1995ø
That's How We Move It (LP Version),Reel To Reel,Grand Puba,200.5,0.55,0.414,1992ø
Soul Controller (LP Version),Reel To Reel,Grand Puba,266.2,0.55,0.414,1992ø
Reel To Reel (LP Version),Reel To Reel,Grand Puba,236.5,0.55,0.414,1992ø
Proper Education (LP Version),Reel To Reel,Grand Puba,213.1,0.55,0.414,1992ø
Playin The Game (LP Version),2000,Grand Puba,272.9,0.55,0.414,1995ø
Play It Cool (LP Version),2000,Grand Puba,252.7,0.55,0.414,1995ø
Lickshot (LP Version),Reel To Reel,Grand Puba,274.9,0.55,0.414,1992ø
I Like It (I Wanna Be Where You Are),2000,Grand Puba,263.5,0.55,0.414,1995ø
Honey Don't Front (LP Version),Reel To Reel,Grand Puba,248.5,0.55,0.414,1992ø
Don't Waste My Time (LP Version),2000,Grand Puba,268.6,0.55,0.414,1995ø
Check Tha Resume (LP Version),Reel To Reel,Grand Puba,231.1,0.55,0.414,1992ø
Check It Out (Featuring Mary J. Blige) (LP Version),Reel To Reel,Grand Puba,212.8,0.55,0.414,1992ø
Change Gonna Come  (LP Version),2000,Grand Puba,188.3,0.55,0.414,1995ø
Big Kids Don't Play (LP Version),Reel To Reel,Grand Puba,227.9,0.55,0.414,1992ø
Back Stabbers  (LP Version),2000,Grand Puba,305.9,0.55,0.414,1995ø
Back It Up (LP Version),Reel To Reel,Grand Puba,231.8,0.55,0.414,1992ø
Baby_ What's Your Name ? (LP Version),Reel To Reel,Grand Puba,175.9,0.55,0.414,1992ø
Amazing  (LP Version),2000,Grand Puba,242.0,0.55,0.414,1995ø
A Little Of This  (LP Version),2000,Grand Puba,220.4,0.55,0.414,1995ø
360 (What Goes Around) (SD50 Remix Version) (Bonus Track),Reel To Reel,Grand Puba,240.9,0.55,0.414,1992ø
2000  (LP Version),2000,Grand Puba,215.2,0.55,0.414,1995ø
