Wasted,Lobotomizer,Motorpsycho,235.0,0.629,0.431,1991ø
Viscount Grisnah,Mountain Ep,Motorpsycho,171.0,0.629,0.431,1993ø
The Ocean In Her Eye,Trust Us,Motorpsycho,555.3,0.629,0.431,1998ø
The House At Pooneil Corners,Mountain Ep,Motorpsycho,550.5,0.629,0.431,1993ø
The Bomb-Proof Roll And Beyond (For Arnie Hassle),Heavy Metal Fruit,Motorpsycho,361.2,0.629,0.431,2010ø
Taifun,Trust Us,Motorpsycho,429.8,0.629,0.431,1998ø
Step Inside Again,Demon Box,Motorpsycho,219.4,0.629,0.431,1993ø
Shock Me,Flaming Youth - A Norwegian Tribute To Kiss,Motorpsycho,247.1,0.629,0.431,2010ø
Ozone,Trust Us,Motorpsycho,273.0,0.629,0.431,1998ø
Lighthouse Girl,8 Soothing Songs For Rut,Motorpsycho,559.8,0.629,0.431,1992ø
Have Fun,8 Soothing Songs For Rut,Motorpsycho,227.8,0.629,0.431,1992ø
Feedtime,Demon Box,Motorpsycho,315.8,0.629,0.431,1993ø
California Dreamin',8 Soothing Songs For Rut,Motorpsycho,307.3,0.629,0.431,1992ø
Blueberry Daydream,Another Ugly Ep,Motorpsycho,288.6,0.629,0.431,1994ø
Another Ugly Tune,Another Ugly Ep,Motorpsycho,225.0,0.629,0.431,1994ø
All Is Loneliness,Demon Box,Motorpsycho,305.3,0.629,0.431,1993ø
