U.F.O.,The Hit Parade,The Wedding Present,60.2,0.676,0.525,1992ø
The Girl With The Curious Smile,Search For Paradise : Singles 2004-5,The Wedding Present,255.8,0.676,0.525,2005ø
Sticky (Live),Live in Leeds,The Wedding Present,181.4,0.676,0.525,2010ø
Soup,El Rey,The Wedding Present,231.5,0.676,0.525,2008ø
Rotterdam,Sea Monsters,The Wedding Present,196.0,0.676,0.525,1991ø
Ringway to Seatac (Live),Live in Leeds,The Wedding Present,158.4,0.676,0.525,2010ø
Octopussy (Live),Live in Leeds,The Wedding Present,413.6,0.676,0.525,2010ø
Montreal (Live),Live in Leeds,The Wedding Present,229.4,0.676,0.525,2010ø
Mercury (Live),Live in Leeds,The Wedding Present,261.3,0.676,0.525,2010ø
Mars Sparkles Down On Me (Live),Live in Leeds,The Wedding Present,307.9,0.676,0.525,2010ø
Make Me Smile (Come Up And See Me),Sea Monsters,The Wedding Present,224.1,0.676,0.525,1990ø
I'm Not Always So Stupid (Live),Live 1987,The Wedding Present,255.4,0.676,0.525,1999ø
Holly Jolly Hollywood (Acoustic Version),Holly Jolly Hollywood,The Wedding Present,226.0,0.676,0.525,2008ø
Dare,Sea Monsters,The Wedding Present,225.4,0.676,0.525,1991ø
Dalliance,Sea Monsters,The Wedding Present,265.2,0.676,0.525,1991ø
Click Click (Live),Live in Leeds,The Wedding Present,212.5,0.676,0.525,2010ø
Brassneck (Live),Live in Leeds,The Wedding Present,227.4,0.676,0.525,1999ø
Blonde,Sea Monsters,The Wedding Present,307.6,0.676,0.525,1991ø
