Wonderland,The Narada Wilderness Collection,Spencer Brewer,234.8,0.514,0.355,1990ø
Which Is Yes,20 Years Of Narada Piano,Spencer Brewer,252.0,0.514,0.355,1993ø
Valley Oaks,Romantic Interludes,Spencer Brewer,301.9,0.514,0.355,1993ø
Ukranian Carol,Narada Christmas Collection Volume 1,Spencer Brewer,220.7,0.514,0.355,1988ø
Tomorrow's Child,Narada Decade (The Anniversary Collection),Spencer Brewer,290.9,0.514,0.355,1988ø
Teresa's Song,Shadow Dancer / Portraits,Spencer Brewer,216.6,0.514,0.355,1984ø
Tellurian Rhapsody,Romantic Interludes,Spencer Brewer,387.1,0.514,0.355,1993ø
Stellar Notion,Shadow Dancer / Portraits,Spencer Brewer,247.7,0.514,0.355,1984ø
Shadow Dancer,Shadow Dancer / Portraits,Spencer Brewer,190.0,0.514,0.355,1984ø
Portraits,Shadow Dancer / Portraits,Spencer Brewer,272.9,0.514,0.355,1987ø
PERJ NEUF,Shadow Dancer / Portraits,Spencer Brewer,338.1,0.514,0.355,1984ø
Old Friends,Shadow Dancer / Portraits,Spencer Brewer,176.2,0.514,0.355,1984ø
My Sweet Elijah,Wisdom Of The Wood,Spencer Brewer,229.8,0.514,0.355,1991ø
Glasshoppa Sushi,Shadow Dancer / Portraits,Spencer Brewer,34.6,0.514,0.355,1984ø
First Rain,Where Angels Dance,Spencer Brewer,212.1,0.514,0.355,1992ø
Celtic Highlands,Romantic Interludes,Spencer Brewer,275.5,0.514,0.355,1993ø
Caravanserai,Romantic Interludes,Spencer Brewer,334.4,0.514,0.355,1993ø
Camelot,Romantic Interludes,Spencer Brewer,279.4,0.514,0.355,1993ø
Blue Valentine,Romantic Interludes,Spencer Brewer,187.6,0.514,0.355,1993ø
Blue Northern,Romantic Interludes,Spencer Brewer,313.1,0.514,0.355,1993ø
