Track Shoes,Dancehall: The Rise of Jamaican Dancehall Culture,General Echo,221.9,0.495,0.322,2008ø
This Is A Lover's Corner,"12"" Of Pleasure",General Echo,287.0,0.495,0.322,1980ø
This Are The Cockie Tribulation,"12"" Of Pleasure",General Echo,216.3,0.495,0.322,1980ø
That's How You Get Your Love Bump,"12"" Of Pleasure",General Echo,156.5,0.495,0.322,1980ø
She Have A Pair Of Headlamp Breasts,"12"" Of Pleasure",General Echo,168.4,0.495,0.322,1980ø
Pld Man Love Young Girl Vegie,"12"" Of Pleasure",General Echo,145.0,0.495,0.322,1980ø
Me Know Everything About She Pum Pum,"12"" Of Pleasure",General Echo,212.0,0.495,0.322,1980ø
Love Me Waist Don't Bother Love Me Face,"12"" Of Pleasure",General Echo,193.1,0.495,0.322,1980ø
Lorna She Love Young Boy Banana,"12"" Of Pleasure",General Echo,223.0,0.495,0.322,1980ø
It's My Desire To Set Your Crutches On Fire,"12"" Of Pleasure",General Echo,187.2,0.495,0.322,1980ø
Hotel Fee (Disco Mix),"12"" Of Pleasure",General Echo,463.0,0.495,0.322,1980ø
Drunken Master,Sly & Robbie present Taxi,General Echo,224.5,0.495,0.322,1981ø
Bathroom Sex,"12"" Of Pleasure",General Echo,247.5,0.495,0.322,1980ø
Arleen,Stalag 2000,General Echo,190.2,0.495,0.322,2000ø
