Well You Needn't,The History Of Blue Note - Volume 6: The New Era,Gonzalo Rubalcaba,525.9,0.534,0.345,1990ø
Silencio (Silence),Solo,Gonzalo Rubalcaba,220.7,0.534,0.345,2006ø
Rezo (Praise Be!),Solo,Gonzalo Rubalcaba,97.4,0.534,0.345,2006ø
Quasar (Edit),Solo,Gonzalo Rubalcaba,409.7,0.534,0.345,2006ø
Oddi Lobbe,Antiguo,Gonzalo Rubalcaba,419.7,0.534,0.345,1998ø
Nightfall,Solo,Gonzalo Rubalcaba,314.9,0.534,0.345,2006ø
Mima,Images: Live From Mt. Fuji,Gonzalo Rubalcaba,188.6,0.534,0.345,1995ø
Looking In Retrospective,Avatar,Gonzalo Rubalcaba,581.1,0.534,0.345,2008ø
Intermitencia,Antiguo,Gonzalo Rubalcaba,486.9,0.534,0.345,1998ø
Infantil (Dedicated to John McLaughlin),Avatar,Gonzalo Rubalcaba,424.5,0.534,0.345,2008ø
Improv #4,Solo,Gonzalo Rubalcaba,147.3,0.534,0.345,2006ø
Improv #3,Solo,Gonzalo Rubalcaba,164.3,0.534,0.345,2006ø
Improv #2,Solo,Gonzalo Rubalcaba,179.4,0.534,0.345,2006ø
Improv #1,Solo,Gonzalo Rubalcaba,206.0,0.534,0.345,2006ø
Imagine,Images: Live From Mt. Fuji,Gonzalo Rubalcaba,443.6,0.534,0.345,1995ø
Homenaje,Antiguo,Gonzalo Rubalcaba,266.4,0.534,0.345,1998ø
Hip Side,Avatar,Gonzalo Rubalcaba,513.7,0.534,0.345,2008ø
Here's That Rainy Day,Inner Voyage,Gonzalo Rubalcaba,574.9,0.534,0.345,2006ø
Faro (Beacon),Solo,Gonzalo Rubalcaba,221.1,0.534,0.345,2006ø
"Eshun Agwe (Yoruba Word for ""Party"")",Antiguo,Gonzalo Rubalcaba,463.9,0.534,0.345,1998ø
Donna Lee,Diz,Gonzalo Rubalcaba,265.4,0.534,0.345,1994ø
Desierto,Antiguo,Gonzalo Rubalcaba,401.8,0.534,0.345,1998ø
Coral Negro,Antiguo,Gonzalo Rubalcaba,597.4,0.534,0.345,1998ø
Concierto En Varsovia,Mi Gran Pasion,Gonzalo Rubalcaba,417.0,0.534,0.345,1994ø
Circuito IV,Antiguo,Gonzalo Rubalcaba,534.2,0.534,0.345,1998ø
Circuito III,Antiguo,Gonzalo Rubalcaba,525.5,0.534,0.345,1998ø
Besame Mucho (Instrumental),Solo,Gonzalo Rubalcaba,251.7,0.534,0.345,2006ø
