You Keep Me Hangin' On,Girls Triple Set,Kim Wilde,254.0,0.714,0.499,1986ø
Water On Glass,Kim Wilde (plus bonus tracks),Kim Wilde,208.8,0.714,0.499,1981ø
Watching For Shapes,Select (plus bonus tracks),Kim Wilde,222.5,0.714,0.499,1981ø
View From A Bridge (Raw Remix) (Edit),The Very Best Of Kim Wilde,Kim Wilde,264.9,0.714,0.499,1987ø
Tuning In Tuning On,Kim Wilde (plus bonus tracks),Kim Wilde,264.5,0.714,0.499,1981ø
Stay Awhile,Catch As Catch Can,Kim Wilde,221.8,0.714,0.499,1983ø
Shoot To Disable,Catch As Catch Can,Kim Wilde,216.9,0.714,0.499,1983ø
Shane,The Hits Collection,Kim Wilde,235.0,0.714,0.499,2006ø
Never Trust A Stranger,Total Woman,Kim Wilde,242.8,0.714,0.499,1988ø
Loved,The Very Best Of Kim Wilde,Kim Wilde,210.6,0.714,0.499,2001ø
Love Blonde (12'' Version),The Hits Collection,Kim Wilde,300.4,0.714,0.499,2006ø
Kids In America (Live),Baby Obey Me,Kim Wilde,353.8,0.714,0.499,2007ø
Kids In America (D-Bop's Bright Lights Mix),Loved,Kim Wilde,471.5,0.714,0.499,2001ø
Kids In America,101 Running Songs,Kim Wilde,202.2,0.714,0.499,1981ø
Just A Feeling,Select (plus bonus tracks),Kim Wilde,248.8,0.714,0.499,1982ø
House Of Salome,Catch As Catch Can,Kim Wilde,216.5,0.714,0.499,1983ø
Enjoy The Silence (Live),Baby Obey Me,Kim Wilde,256.8,0.714,0.499,2007ø
Dream Sequence,Catch As Catch Can,Kim Wilde,365.0,0.714,0.499,1983ø
Chaos At The Airport,Select (plus bonus tracks),Kim Wilde,198.2,0.714,0.499,1982ø
Can You Hear It,Catch As Catch Can,Kim Wilde,267.7,0.714,0.499,1983ø
Can You Come Over,Select (plus bonus tracks),Kim Wilde,215.0,0.714,0.499,1982ø
Back Street Joe,Catch As Catch Can,Kim Wilde,269.8,0.714,0.499,1983ø
Back Street Driver,The Hits Collection,Kim Wilde,213.3,0.714,0.499,2006ø
Baby Obey Me (2006),Baby Obey Me,Kim Wilde,193.5,0.714,0.499,2007ø
