Sandstorm (JS16 Remix),Before the Storm,Darude,442.7,0.705,0.496,1999ø
Sandstorm,The Very Best Of Euphoric Dance Breakdown,Darude,447.2,0.705,0.496,2000ø
In The Darkness (Trance Mix),In The Darkness,Darude,440.0,0.705,0.496,2007ø
In The Darkness (Tech Mix),In The Darkness,Darude,480.8,0.705,0.496,2007ø
The Flow,Ballistic,Darude,228.7,0.705,0.482,2000ø
Tell Me (Weirdness Remix),Tell Me,Darude,496.8,0.705,0.482,2007ø
Tell Me (Original Radio Edit),Tell Me,Darude,189.5,0.705,0.482,2007ø
Tell Me (Original Dub),Tell Me,Darude,473.2,0.705,0.482,2007ø
Tell Me (Kenneth Thomas Tech-Funk Dub),Tell Me,Darude,470.4,0.705,0.482,2007ø
Tell Me (Heikki L Powerhouse Remix),Tell Me,Darude,448.6,0.705,0.482,2007ø
Stars (Here With Me) (Tech Mix),Label This! US Special Edition,Darude,372.6,0.705,0.482,2007ø
Out Of Control (Spectro Remix),Out Of Control (Back for More),Darude,411.5,0.705,0.482,2001ø
Out Of Control (Js16 Remix),Out Of Control (Back for More),Darude,424.5,0.705,0.482,2001ø
Out of Control (Bostik Remix),Out of Control,Darude,518.4,0.705,0.482,2001ø
My Game (Weirdness Remix),My Game,Darude,463.8,0.705,0.482,2007ø
My Game (Original Mix),My Game,Darude,438.8,0.705,0.482,2007ø
My Game (JS 16 Remix),My Game,Darude,379.7,0.705,0.482,2007ø
My Game (Joonas Hahmo Remix),My Game,Darude,475.0,0.705,0.482,2007ø
My Game,Label This! US Special Edition,Darude,270.3,0.705,0.482,2007ø
Label This!,Label This! US Special Edition,Darude,289.8,0.705,0.482,2007ø
In The Darkness (Trance Edit),In The Darkness,Darude,185.0,0.705,0.482,2008ø
In The Darkness (Tech Instru),In The Darkness,Darude,452.0,0.705,0.482,2008ø
In The Darkness (Tech Edit),In The Darkness,Darude,169.5,0.705,0.482,2008ø
In The Darkness (Ocheanos Remix),In The Darkness,Darude,463.4,0.705,0.482,2008ø
In The Darkness (Mike Shiver's Catching Sun Dub),In The Darkness,Darude,494.8,0.705,0.482,2008ø
Good Grooves,Label This! US Special Edition,Darude,333.2,0.705,0.482,2007ø
For Those I Love,Label This! US Special Edition,Darude,481.7,0.705,0.482,2007ø
Dreams,Label This! US Special Edition,Darude,414.7,0.705,0.482,2007ø
Bad,Label This! US Special Edition,Darude,381.1,0.705,0.482,2007ø
