Yankee Doodle,Song of America,Harper Simon,209.9,0.585,0.452,2007ø
Wishes And Stars,Harper Simon,Harper Simon,180.1,0.585,0.452,2009ø
The Shine,Harper Simon,Harper Simon,257.0,0.585,0.452,2009ø
The Audit,Harper Simon,Harper Simon,220.1,0.585,0.452,2009ø
Tennessee,Harper Simon,Harper Simon,196.0,0.585,0.452,2009ø
Henrieta,The Green Owl Comp: A Benefit For The Energy Action Coalition,Harper Simon,223.9,0.585,0.452,2008ø
Ha Ha,Harper Simon,Harper Simon,150.9,0.585,0.452,2009ø
Cactus Flower Rag,Harper Simon,Harper Simon,136.8,0.585,0.452,2009ø
Berkeley Girl,Harper Simon,Harper Simon,218.3,0.585,0.452,2009ø
All To God,Harper Simon,Harper Simon,107.1,0.585,0.452,2009ø
All I Have Are Memories,Harper Simon,Harper Simon,169.5,0.585,0.452,2009ø
