Melody,Misery Is A Butterfly,Cass McCombs,276.9,0.621,0.558,2004ø
Your Mother And Father,Not The Way,Cass McCombs,238.6,0.645,0.48,2002ø
You Saved My Life,Catacombs,Cass McCombs,324.1,0.645,0.48,2009ø
Windfall,Dropping The Writ,Cass McCombs,288.6,0.645,0.48,2007ø
Wheel Of Fortune,Dropping The Writ,Cass McCombs,381.6,0.645,0.48,2007ø
The Executioner's Song,Catacombs,Cass McCombs,261.4,0.645,0.48,2009ø
That's That,Dropping The Writ,Cass McCombs,255.1,0.645,0.48,2007ø
So Damn Pure,Not The Way,Cass McCombs,212.6,0.645,0.48,2002ø
Prima Donna,Catacombs,Cass McCombs,293.3,0.645,0.48,2009ø
Pregnant Pause,Dropping The Writ,Cass McCombs,209.0,0.645,0.48,2007ø
Petrified Forest,Dropping The Writ,Cass McCombs,239.8,0.645,0.48,2007ø
Opium Flower,Not The Way,Cass McCombs,363.4,0.645,0.48,2002ø
One Way To Go,Catacombs,Cass McCombs,175.1,0.645,0.48,2009ø
Not The Way,Not The Way,Cass McCombs,200.5,0.645,0.48,2002ø
My Sister_ My Spouse,Catacombs,Cass McCombs,314.3,0.645,0.48,2009ø
Morning Shadows,Dropping The Writ,Cass McCombs,176.2,0.645,0.48,2007ø
Lionkiller Got Married,Catacombs,Cass McCombs,334.3,0.645,0.48,2009ø
Lionkiller,Dropping The Writ,Cass McCombs,272.5,0.645,0.48,2007ø
Jonesy Boy,Catacombs,Cass McCombs,284.6,0.645,0.48,2009ø
Healing,That's That,Cass McCombs,289.5,0.645,0.48,2008ø
Harmonia,Catacombs,Cass McCombs,366.8,0.645,0.48,2009ø
Full Moon Or Infinity,Dropping The Writ,Cass McCombs,265.7,0.645,0.48,2007ø
Eavesdropping On The Competition,Catacombs,Cass McCombs,233.5,0.645,0.48,2009ø
Don't Vote,Catacombs,Cass McCombs,326.8,0.645,0.48,2009ø
Deseret,Dropping The Writ,Cass McCombs,234.1,0.645,0.48,2007ø
Crick In My Neck,Dropping The Writ,Cass McCombs,259.5,0.645,0.48,2007ø
