Yeke Yeke,Best House & Oldschool Remixes,Mory Kante,292.2,0.541,0.352,1985ø
Yakha,Tamala,Mory Kante,304.8,0.541,0.352,2001ø
Wali Gnoumalombalia,Tamala,Mory Kante,296.1,0.541,0.352,2001ø
Sabou,Sabou,Mory Kante,300.5,0.541,0.352,2004ø
Nata,Tamala,Mory Kante,280.9,0.541,0.352,2001ø
Mosso,Tamala,Mory Kante,259.7,0.541,0.352,2001ø
Mana Mana Ko,Tamala,Mory Kante,231.9,0.541,0.352,2001ø
Le Griot,Tamala,Mory Kante,297.4,0.541,0.352,2001ø
Guineen Nou,Tamala,Mory Kante,277.3,0.541,0.352,2001ø
Djou,Sabou,Mory Kante,334.8,0.541,0.352,2004ø
Dimini,Tamala,Mory Kante,366.9,0.541,0.352,2001ø
Biriya (Rhythmes Du Mandingue),Sabou,Mory Kante,414.7,0.541,0.352,2004ø
Alamina Badoubaden,Tamala,Mory Kante,457.1,0.541,0.352,2001ø
