Varsity Drag,Love Me or Leave Me - In Chronological Order_ Volume 3,Gerry Mulligan Quartet,143.7,0.486,0.393,2005ø
Utter Chaos,What Is There To Say?,Gerry Mulligan Quartet,263.9,0.486,0.393,1994ø
The Nearness of You,Bare Baritone,Gerry Mulligan Quartet,176.3,0.486,0.393,1954ø
Tea for Two,Bare Baritone,Gerry Mulligan Quartet,171.6,0.486,0.393,2004ø
Soft Shoe,Bare Baritone,Gerry Mulligan Quartet,162.4,0.486,0.393,2004ø
Nights at the Turntable,Bare Baritone,Gerry Mulligan Quartet,176.8,0.486,0.393,2004ø
My Funny Valentine,Bare Baritone,Gerry Mulligan Quartet,180.2,0.486,0.393,1994ø
Five Brothers,Bare Baritone,Gerry Mulligan Quartet,183.8,0.486,0.393,1954ø
Darn That Dream,The Original Sounds of Los Angeles (The Cities Where Jazz Was Born),Gerry Mulligan Quartet,205.5,0.486,0.393,2004ø
Blueport,What Is There To Say?,Gerry Mulligan Quartet,529.5,0.486,0.393,1994ø
Bark for Barksdale,Bare Baritone,Gerry Mulligan Quartet,198.0,0.486,0.393,1954ø
