Try (Just A Little Harder),Janis Joplin's Greatest Hits,Janis Joplin,237.0,0.83,0.56,1999ø
Try (Just A Little Bit Harder),Janis,Janis Joplin,493.9,0.83,0.56,1969ø
Trust Me,ANTHOLOGY,Janis Joplin,190.6,0.83,0.56,1971ø
Tell Mama,Pearl (Legacy Edition),Janis Joplin,407.3,0.83,0.56,1988ø
Summertime,Janis,Janis Joplin,245.7,0.83,0.56,1972ø
Raise Your Hand (Live),Farewell Song,Janis Joplin,226.2,0.83,0.56,1995ø
Raise Your Hand,Janis Joplin: The Woodstock Experience,Janis Joplin,331.2,0.83,0.56,1988ø
Piece Of My Heart,Janis Joplin: The Woodstock Experience,Janis Joplin,297.1,0.83,0.56,1972ø
One Night Stand,Janis,Janis Joplin,188.5,0.83,0.56,1988ø
One Good Man,The Essential Janis Joplin,Janis Joplin,249.8,0.83,0.56,1969ø
My Baby,Pearl (Legacy Edition),Janis Joplin,225.5,0.83,0.56,1971ø
Move Over,Joplin In Concert,Janis Joplin,398.0,0.83,0.56,1971ø
Misery 'N,Farewell Song,Janis Joplin,253.7,0.83,0.56,1997ø
Mercedes Benz,Pearl,Janis Joplin,106.0,0.804,0.56,1971ø
Me And Bobby McGee,Cheap Thrills/Pearl,Janis Joplin,269.7,0.83,0.56,1971ø
Maybe,Janis,Janis Joplin,246.7,0.83,0.56,1969ø
Little Girl Blue,Cheap Thrills/Pearl,Janis Joplin,236.3,0.83,0.56,1969ø
Kozmic Blues,The Essential Janis Joplin,Janis Joplin,305.5,0.83,0.56,1969ø
I Need A Man To Love,Janis Joplin Live At Winterland '68,Janis Joplin,352.3,0.83,0.56,1991ø
Harry,Farewell Song,Janis Joplin,59.0,0.83,0.56,1988ø
Half Moon,ANTHOLOGY,Janis Joplin,236.1,0.83,0.56,1971ø
Get It While You Can,Pearl (Legacy Edition),Janis Joplin,440.9,0.83,0.56,1971ø
Flower In The Sun,Janis,Janis Joplin,191.3,0.83,0.56,1972ø
Farewell Song,Janis,Janis Joplin,262.3,0.83,0.56,1988ø
Ego Rock,Joplin In Concert,Janis Joplin,480.7,0.83,0.56,1972ø
Down On Me,ANTHOLOGY,Janis Joplin,183.1,0.83,0.56,1972ø
Cry Baby,Pearl (Legacy Edition),Janis Joplin,391.7,0.83,0.56,1971ø
Coo Coo,Janis,Janis Joplin,123.6,0.83,0.56,2003ø
Catch Me Daddy,Farewell Song,Janis Joplin,290.0,0.83,0.56,1983ø
Call On Me,Janis,Janis Joplin,215.6,0.83,0.56,2008ø
Bye_ Bye Baby,18 Essential Songs,Janis Joplin,157.7,0.83,0.56,1995ø
Buried Alive In The Blues,Pearl (Legacy Edition),Janis Joplin,147.3,0.804,0.56,1971ø
Ball And Chain,Janis Joplin: The Woodstock Experience,Janis Joplin,462.5,0.83,0.56,1972ø
As Good As You've Been To This World,Janis Joplin: The Woodstock Experience,Janis Joplin,385.0,0.83,0.56,1969ø
A Woman Left Lonely,Janis,Janis Joplin,209.6,0.83,0.56,1971ø
Walk right in,A1 Record Shop - Popular Songs Volume Two,Janis Joplin,132.1,0.83,0.554,1992ø
Mary Jane,The Very Best Of Janis Joplin,Janis Joplin,133.2,0.804,0.554,1995ø
Magic Of Love,Janis Joplin Live At Winterland '68,Janis Joplin,187.7,0.83,0.554,1988ø
Dear Landlord,I Got Dem Ol' Kozmic Blues Again Mama!,Janis Joplin,150.9,0.83,0.554,2008ø
Combination Of The Two,Janis Joplin Live At Winterland '68,Janis Joplin,418.1,0.83,0.554,1991ø
Bye Bye Baby,Janis Joplin Live At Winterland '68,Janis Joplin,254.3,0.83,0.554,1993ø
All Is Loneliness,Joplin In Concert,Janis Joplin,345.8,0.83,0.554,1972ø
Misery'n,Janis,Janis Joplin,247.8,0.804,0.548,1988ø
