The Kids Aren't Quiet On Sharmon Palms,Give Em The Boot V,Lars Frederiksen And The Bastards,166.0,0.644,0.391,2006ø
Switchblade (Feat: Skinhead Rob),Viking,Lars Frederiksen And The Bastards,218.2,0.644,0.391,2004ø
Streetwise Professor,Viking,Lars Frederiksen And The Bastards,190.3,0.644,0.391,2004ø
Skins_ Punx and Drunx,Viking,Lars Frederiksen And The Bastards,64.6,0.644,0.391,2004ø
My Life (Feat: Tim Armstrong),Viking,Lars Frederiksen And The Bastards,267.2,0.644,0.391,2004ø
Marie Marie,Viking,Lars Frederiksen And The Bastards,115.8,0.644,0.391,2004ø
Mainlining Murder,Viking,Lars Frederiksen And The Bastards,210.5,0.644,0.391,2004ø
Maggots,Viking,Lars Frederiksen And The Bastards,120.4,0.644,0.391,2004ø
Little Rude Girl,Viking,Lars Frederiksen And The Bastards,77.3,0.644,0.391,2004ø
Gods Of War,Viking,Lars Frederiksen And The Bastards,55.3,0.644,0.391,2004ø
Fight,Viking,Lars Frederiksen And The Bastards,56.4,0.644,0.391,2004ø
Bastards,Viking,Lars Frederiksen And The Bastards,101.4,0.644,0.391,2004ø
1%,Viking,Lars Frederiksen And The Bastards,166.5,0.644,0.391,2004ø
