Make My Life A Prayer To You,Children of the Lord/maxi sngl,Spoken,189.4,0.633,0.512,2001ø
You're The One,Spoken,Spoken,272.8,0.68,0.508,2007ø
You're Still Waiting,Last Chance To Breathe,Spoken,235.0,0.68,0.508,2005ø
World Away_ A (Spoken Album Version),A Moment of Imperfect Clarity,Spoken,262.0,0.68,0.508,2003ø
Wind In My Sails,Last Chance To Breathe,Spoken,220.6,0.68,0.508,2005ø
When Hope Is All You Have,Spoken,Spoken,166.0,0.68,0.508,2007ø
Trading In This Troubled Heart,Spoken,Spoken,207.8,0.68,0.508,2007ø
Start The Revolution,Spoken,Spoken,379.7,0.68,0.508,2007ø
Sleep Well Tonight (Spoken Album Version),A Moment of Imperfect Clarity,Spoken,251.0,0.68,0.508,2003ø
Season's Change (Spoken Album Version),A Moment of Imperfect Clarity,Spoken,225.3,0.68,0.508,2003ø
Remembered (Spoken Album Version),A Moment of Imperfect Clarity,Spoken,222.4,0.68,0.508,2003ø
Not Soon Forgotten,Spoken,Spoken,163.2,0.68,0.508,2007ø
Mary Did You Know,Happy Christmas Vol. 4,Spoken,206.0,0.68,0.508,2005ø
Love In Return,Last Chance To Breathe,Spoken,216.9,0.68,0.508,2005ø
Learning To Forget (Spoken Album Version),A Moment of Imperfect Clarity,Spoken,286.9,0.68,0.508,2003ø
History Erased,Spoken,Spoken,146.5,0.68,0.508,2007ø
From the Inside,Last Chance To Breathe,Spoken,221.9,0.68,0.508,2005ø
Falling Further,A Moment of Imperfect Clarity,Spoken,213.3,0.68,0.508,2003ø
Everything Is Burning,Last Chance To Breathe,Spoken,179.8,0.68,0.508,2005ø
Brought To Life,Spoken,Spoken,169.8,0.68,0.508,2007ø
Bitter Taste,Last Chance To Breathe,Spoken,128.4,0.68,0.508,2005ø
4th Street,Last Chance To Breathe,Spoken,240.3,0.68,0.508,2005ø
1992,Last Chance To Breathe,Spoken,242.5,0.68,0.508,2005ø
