Tears In Heaven,Das Winteralbum,Loona,231.5,0.589,0.371,2004ø
Shining Star (Gipsy Circus),Moonrise,Loona,214.3,0.589,0.371,2008ø
Salam Aleikoum,Moonrise,Loona,175.1,0.589,0.371,2008ø
Rhythm Of The Night 2008,Moonrise,Loona,224.7,0.589,0.371,2008ø
Prince Of Love 2008,Moonrise,Loona,233.5,0.589,0.371,2008ø
Por la noche,Moonrise,Loona,212.8,0.589,0.371,2008ø
Pajaro Sin Cielo,Entre Dos Aguas,Loona,343.5,0.589,0.371,1999ø
Mamboleo 2008,Moonrise,Loona,219.4,0.589,0.371,2008ø
Magic Stand,Babaorum Remenber 2003,Loona,407.2,0.589,0.371,2003ø
Love (One On One),Moonrise,Loona,232.6,0.589,0.371,2008ø
La Vida Es Una Flor,Entre Dos Aguas,Loona,256.7,0.589,0.371,1999ø
It's Love Para Siempre,Entre Dos Aguas,Loona,253.9,0.589,0.371,1999ø
In The Sound Of  Silence,Moonrise,Loona,262.3,0.589,0.371,2008ø
Hijo De La Luna 2008,Moonrise,Loona,342.3,0.589,0.371,2008ø
Gib mir deine Angst,Moonrise,Loona,253.2,0.589,0.371,2008ø
Eternally,Moonrise,Loona,256.2,0.589,0.371,2008ø
Entre Dos Aguas,Entre Dos Aguas,Loona,360.5,0.589,0.371,1999ø
