Vital Signs,Camden Crawl 2010,Midnight Juggernauts,334.3,0.718,0.532,2010ø
Twenty Thousand Leagues,Dystopia,Midnight Juggernauts,266.7,0.718,0.532,2007ø
Tombstone (Popular Computer remix),Road to Recovery,Midnight Juggernauts,347.6,0.718,0.532,2007ø
Tombstone,Dystopia,Midnight Juggernauts,243.0,0.718,0.532,2006ø
Shadows (M83 Remix),Shadows (Digital EP2),Midnight Juggernauts,375.8,0.718,0.532,2008ø
Shadows (Knightlife Remix),Shadows (Digital EP2),Midnight Juggernauts,341.9,0.718,0.532,2008ø
Shadows,Dystopia,Midnight Juggernauts,255.5,0.741,0.532,2006ø
Scorpius,Dystopia,Midnight Juggernauts,78.1,0.718,0.532,2007ø
Road to Recovery (D.I.M. remix),Road to Recovery remixes,Midnight Juggernauts,335.8,0.718,0.532,2008ø
Road to Recovery,Juice Vol.1,Midnight Juggernauts,237.1,0.741,0.532,2007ø
Nine Lives,Dystopia,Midnight Juggernauts,276.3,0.718,0.532,2007ø
Into The Galaxy (Radio Version),Into The Galaxy,Midnight Juggernauts,217.3,0.718,0.532,2008ø
Into The Galaxy (Metronomy Remix),Into The Galaxy,Midnight Juggernauts,258.7,0.718,0.532,2008ø
Into The Galaxy (Grandmaster Flash Remix),Into The Galaxy,Midnight Juggernauts,316.3,0.718,0.532,2008ø
Into The Galaxy (Chateau Marmont Remix),Ever Better,Midnight Juggernauts,230.2,0.741,0.532,2008ø
Into The Galaxy (Architecture In Helsinki Remix),Into The Galaxy,Midnight Juggernauts,306.1,0.741,0.532,2008ø
Fantastic Valleys,This New Technology - EP,Midnight Juggernauts,124.2,0.718,0.532,2009ø
Ending Of An Era,Dystopia,Midnight Juggernauts,291.2,0.718,0.532,2007ø
Dystopia,Dystopia,Midnight Juggernauts,174.9,0.741,0.532,2007ø
