Wheels,Billy Vaughn: Greatest Hits,Billy Vaughn,119.4,0.506,0.397,1990ø
Tumbling Tumbleweeds,Rock 'n' Roll And Pop Hits_ The 50s_ Vol. 28,Billy Vaughn,120.0,0.506,0.397,2007ø
The Waltz You Saved For Me,Sweet Music & Memories,Billy Vaughn,136.2,0.506,0.397,1997ø
Silent Night,Christmas Carols,Billy Vaughn,125.9,0.506,0.397,1958ø
O Little Town Of Bethlehem,The First Noel,Billy Vaughn,156.7,0.506,0.397,1958ø
Melody Of Love,22 Wonderful Memories,Billy Vaughn,132.0,0.506,0.397,1992ø
It Came Upon A Midnight Clear,The First Noel,Billy Vaughn,148.0,0.506,0.397,1958ø
Hark! The Herald Angels Sing,Christmas Classics,Billy Vaughn,152.5,0.506,0.397,1958ø
Faith Of Our Fathers,Christmas Carols,Billy Vaughn,152.4,0.506,0.397,1958ø
Drifting On A Cloud,Sweet Music & Memories,Billy Vaughn,147.0,0.506,0.397,1997ø
Deck The Halls,Christmas Carols,Billy Vaughn,98.4,0.506,0.397,1958ø
Creole Love Call,Sweet Music & Memories,Billy Vaughn,174.7,0.506,0.397,1997ø
Auld Lang Syne,Christmas Classics,Billy Vaughn,170.9,0.506,0.397,2004ø
Adeste Fideles,Christmas Carols,Billy Vaughn,137.0,0.506,0.397,1958ø
