Walk the Block,We Are,Cloak|Dagger,158.8,0.432,0.39,2007ø
Sunburnt Mess,We Are,Cloak|Dagger,87.7,0.434,0.39,2007ø
Set the Alarm,We Are,Cloak|Dagger,103.0,0.432,0.39,2007ø
Runways,We Are,Cloak|Dagger,99.2,0.434,0.39,2007ø
Red Hair,We Are,Cloak|Dagger,108.6,0.432,0.39,2007ø
Quit Life,We Are,Cloak|Dagger,165.8,0.434,0.39,2007ø
Kamikazes,We Are,Cloak|Dagger,119.5,0.432,0.39,2007ø
J.C. Pays the Bills,We Are,Cloak|Dagger,118.3,0.434,0.39,2007ø
Hollywood Hills,We Are,Cloak|Dagger,113.2,0.434,0.39,2007ø
Generato,We Are,Cloak|Dagger,73.9,0.434,0.39,2007ø
Dia de los daggers,We Are,Cloak|Dagger,122.7,0.434,0.39,2007ø
Bended Knee,We Are,Cloak|Dagger,124.2,0.051,0.39,2007ø
