Wild Card,Wild Card,The Rippingtons | Russ Freeman,236.1,0.614,0.392,2005ø
Welcome To The St. James Club,Live Across America,The Rippingtons | Russ Freeman,315.1,0.614,0.392,2003ø
Till You Come Back To Me,Wild Card,The Rippingtons | Russ Freeman,239.4,0.614,0.392,2005ø
Summer Lovers,Live Across America,The Rippingtons | Russ Freeman,395.0,0.614,0.392,1999ø
Star Spangled Banner,Live Across America,The Rippingtons | Russ Freeman,166.4,0.614,0.392,2003ø
Spanish Girl,Wild Card,The Rippingtons | Russ Freeman,254.6,0.614,0.392,2005ø
She Likes To Watch,Live Across America,The Rippingtons | Russ Freeman,338.8,0.614,0.392,1986ø
Road Warriors,Live Across America,The Rippingtons | Russ Freeman,255.1,0.614,0.392,2003ø
Purple Haze,Live Across America,The Rippingtons | Russ Freeman,102.1,0.614,0.392,2003ø
Oceansong,Kilimanjaro,The Rippingtons | Russ Freeman,334.1,0.614,0.392,1988ø
Northern Lights,Kilimanjaro,The Rippingtons | Russ Freeman,280.6,0.614,0.392,1988ø
Mulata De Mi Amor,Wild Card,The Rippingtons | Russ Freeman,235.5,0.614,0.392,2005ø
Morocco,Kilimanjaro,The Rippingtons | Russ Freeman,295.5,0.614,0.392,1988ø
Love Notes,Kilimanjaro,The Rippingtons | Russ Freeman,257.0,0.614,0.392,1988ø
King Of Hearts,Wild Card,The Rippingtons | Russ Freeman,249.4,0.614,0.392,2005ø
Kilimanjaro,The Best Of The Rippingtons,The Rippingtons | Russ Freeman,288.2,0.614,0.392,1988ø
Katrina's Dance,Kilimanjaro,The Rippingtons | Russ Freeman,364.6,0.614,0.392,1988ø
Into You,Wild Card,The Rippingtons | Russ Freeman,236.5,0.614,0.392,2005ø
Hideaway,Live Across America,The Rippingtons | Russ Freeman,237.8,0.614,0.392,1995ø
Gypsy Eyes,Wild Card,The Rippingtons | Russ Freeman,259.9,0.614,0.392,2005ø
Dream Of The Sirens,Kilimanjaro,The Rippingtons | Russ Freeman,343.5,0.614,0.392,1988ø
Black Diamond,Live Across America,The Rippingtons | Russ Freeman,300.6,0.614,0.392,1997ø
Are We There Yet,Live Across America,The Rippingtons | Russ Freeman,269.2,0.614,0.392,2003ø
