When I Need You,Feeling Good,Randy Crawford | Joe Sample,253.2,0.559,0.405,2006ø
The Late Late Show - Bonus Track,Feeling Good,Randy Crawford | Joe Sample,164.9,0.559,0.405,2006ø
Tell Me More And More And Then Some,Feeling Good,Randy Crawford | Joe Sample,177.1,0.559,0.405,2006ø
See Line Woman,Feeling Good,Randy Crawford | Joe Sample,297.9,0.559,0.405,2006ø
Save Your Love For Me,Feeling Good,Randy Crawford | Joe Sample,201.5,0.559,0.405,2006ø
Rio De Janeiro Blue,Feeling Good,Randy Crawford | Joe Sample,305.5,0.559,0.405,2006ø
Mr. Ugly,Feeling Good,Randy Crawford | Joe Sample,198.5,0.559,0.405,2006ø
Lovetown,Feeling Good,Randy Crawford | Joe Sample,266.3,0.559,0.405,2006ø
Last Night At Danceland,Feeling Good,Randy Crawford | Joe Sample,255.4,0.559,0.405,2006ø
Everybody's Talking,Feeling Good,Randy Crawford | Joe Sample,233.6,0.559,0.405,2006ø
End Of The Line,Feeling Good,Randy Crawford | Joe Sample,207.6,0.559,0.405,2006ø
