You Do It Or You Don't,Fight Songs For F*ck-Ups,Peter Pan Speedrock,205.3,0.594,0.436,2007ø
Tonight Allright,Spread Eagle,Peter Pan Speedrock,141.2,0.594,0.436,2005ø
Time To Get Down,Spread Eagle,Peter Pan Speedrock,193.0,0.594,0.436,2005ø
Smokin' Ass,Go Satan Go!,Peter Pan Speedrock,180.8,0.594,0.436,2003ø
Short Road To Nowhere,Spread Eagle,Peter Pan Speedrock,155.6,0.594,0.436,2005ø
Shoot Shoot,Crosscontamination,Peter Pan Speedrock,214.6,0.594,0.436,2008ø
Red Wings,Spread Eagle,Peter Pan Speedrock,268.3,0.594,0.436,2005ø
Pay the Fuckin' Bill!,Spread Eagle,Peter Pan Speedrock,163.9,0.594,0.436,2005ø
Mission Impossible,Crosscontamination,Peter Pan Speedrock,141.5,0.594,0.436,2008ø
Gotta Get Some,Schoppen Aas,Peter Pan Speedrock,121.5,0.594,0.436,2001ø
Good Stuff,Spread Eagle,Peter Pan Speedrock,248.2,0.594,0.436,2005ø
Domino,Spread Eagle,Peter Pan Speedrock,216.7,0.594,0.436,2005ø
Dead (I Want Them When They Are Dead),Crosscontamination,Peter Pan Speedrock,168.6,0.594,0.436,2008ø
Damn You All to Hell,Spread Eagle,Peter Pan Speedrock,167.2,0.594,0.436,2002ø
Cock-Teaser,Spread Eagle,Peter Pan Speedrock,155.7,0.594,0.436,2005ø
Better Off Dead,Spread Eagle,Peter Pan Speedrock,163.0,0.594,0.436,2005ø
Alfa Female,Spread Eagle,Peter Pan Speedrock,128.8,0.594,0.436,2005ø
Ain't No Part O'Nothing,Spread Eagle,Peter Pan Speedrock,93.0,0.594,0.436,2005ø
