Your Mother's No Good Here,Downtown & Brooklyn Only,310,111.7,0.477,0.368,2001ø
Urban Mantras,Downtown & Brooklyn Only,310,349.2,0.477,0.368,2001ø
UNTidal,After All,310,185.6,0.477,0.368,2001ø
Under The Blue Words,The Dirty Rope,310,247.5,0.477,0.368,1999ø
Truce For A Moment,After All,310,332.1,0.477,0.368,2001ø
The Claw Is Forming,After All,310,306.8,0.477,0.368,2001ø
Tequila Priest,The Dirty Rope,310,127.7,0.477,0.368,1999ø
Takamous,After All,310,558.0,0.477,0.368,2001ø
Spawn Winds,Downtown & Brooklyn Only,310,596.8,0.477,0.368,2001ø
Six Month Zazen,The Dirty Rope,310,421.2,0.477,0.368,1999ø
Shadow Traffic,Check The Water,310,333.3,0.477,0.368,2003ø
Rubberfoot,Downtown & Brooklyn Only,310,290.5,0.477,0.368,2001ø
Red Horizon,Downtown & Brooklyn Only,310,351.7,0.477,0.368,2001ø
Raincarnation,Downtown & Brooklyn Only,310,217.8,0.477,0.368,2001ø
Prewar Doorman,Downtown & Brooklyn Only,310,229.6,0.477,0.368,2001ø
Pharmacy Within,Downtown & Brooklyn Only,310,234.1,0.477,0.368,2001ø
Persian Wolf,Downtown & Brooklyn Only,310,168.8,0.477,0.368,2001ø
Pacific Gravity,Recessional,310,196.2,0.477,0.368,1999ø
Off-Track Betty,After All,310,360.3,0.477,0.368,2001ø
NOD,The Dirty Rope,310,478.4,0.477,0.368,1999ø
Night on the Ocean,Recessional,310,341.8,0.477,0.368,2003ø
Moving Platform,Recessional,310,305.1,0.477,0.368,2003ø
Me Head is Light,The Dirty Rope,310,335.6,0.477,0.368,1999ø
Mbaba,Downtown & Brooklyn Only,310,349.1,0.477,0.368,2001ø
Jet pack Time,The Dirty Rope,310,313.1,0.477,0.368,1999ø
Installation Linoleum,Lost For Words,310,304.7,0.477,0.368,2003ø
Imaginary Families,After All,310,211.6,0.477,0.368,2001ø
Frosty Bardum,The Dirty Rope,310,177.4,0.477,0.368,1999ø
Fresh 24,Downtown & Brooklyn Only,310,443.6,0.477,0.368,2001ø
Firing Line,The Dirty Rope,310,307.3,0.477,0.368,1999ø
Fear Of Zamfir,Downtown & Brooklyn Only,310,408.4,0.477,0.368,2001ø
ExuMix,Delivery Room,310,276.9,0.477,0.368,2003ø
Exu,Downtown & Brooklyn Only,310,402.6,0.477,0.368,2001ø
Dick Vitale Is Dead,Downtown & Brooklyn Only,310,68.9,0.477,0.368,2001ø
Cloud Rooms,Recessional,310,326.4,0.477,0.368,2003ø
An Seanachi,After All,310,325.9,0.477,0.368,2001ø
A Fare to Remember,Recessional,310,122.1,0.743,0.368,2003ø
