Worn Me Down,Worn Me Down,Rachael Yamagata,298.2,0.76,0.52,2003ø
Reason Why,Happenstance,Rachael Yamagata,306.8,0.76,0.52,2004ø
Quiet,Happenstance,Rachael Yamagata,362.9,0.76,0.52,2004ø
Paper Doll,Paper Doll,Rachael Yamagata,303.8,0.76,0.52,2004ø
Ode To...,Happenstance (Deluxe Version),Rachael Yamagata,347.5,0.76,0.52,2004ø
Moments with Oliver,Happenstance,Rachael Yamagata,63.3,0.76,0.52,2004ø
Meet Me By The Water,Happenstance,Rachael Yamagata,239.3,0.76,0.52,2004ø
Letter Read,Happenstance,Rachael Yamagata,224.2,0.76,0.52,2001ø
Jesus Was A Crossmaker,Elizabethtown - Music From The Motion Picture - Vol. 2,Rachael Yamagata,219.8,0.76,0.52,2006ø
I'll Find a Way,Happenstance,Rachael Yamagata,315.0,0.76,0.52,2004ø
I Wish You Love,Prime,Rachael Yamagata,212.1,0.76,0.52,2005ø
Even So,Happenstance (Deluxe Version),Rachael Yamagata,258.2,0.76,0.52,2004ø
Edith,Happenstance (Deluxe Version),Rachael Yamagata,420.2,0.76,0.52,2004ø
Collide,Happenstance (Deluxe Version),Rachael Yamagata,301.6,0.76,0.52,2001ø
Be Be Your Love,Happenstance (Deluxe Version),Rachael Yamagata,252.3,0.76,0.52,2001ø
1963,Happenstance,Rachael Yamagata,242.8,0.76,0.52,2004ø
