Swedish Rhapsody,45 Most Loved Instrumentals,Percy Faith & His Orchestra,192.3,0.438,0.37,1953ø
Solamente Una Vez,Viva!,Percy Faith & His Orchestra,188.0,0.438,0.37,1957ø
La Golondrina,Viva!,Percy Faith & His Orchestra,229.2,0.438,0.37,1957ø
Guadalajara,Viva!,Percy Faith & His Orchestra,182.2,0.438,0.37,1957ø
Granada,Viva!,Percy Faith & His Orchestra,203.1,0.438,0.37,1957ø
El Rancho Grande,Viva!,Percy Faith & His Orchestra,183.6,0.438,0.37,1957ø
Cuanto La Gusta,Viva!,Percy Faith & His Orchestra,173.1,0.438,0.37,1957ø
Theme for Young Lovers,Themes For Young Lovers,Percy Faith & His Orchestra,160.0,0.438,0.361,1960ø
Mexican Hat Dance,Viva!,Percy Faith & His Orchestra,163.3,0.438,0.361,1957ø
La Cucaracha,Viva!,Percy Faith & His Orchestra,178.0,0.438,0.361,1957ø
Estrellita,Viva!,Percy Faith & His Orchestra,151.8,0.438,0.361,1957ø
Delicado,Remember The 50's_ Vol 3,Percy Faith & His Orchestra,221.0,0.438,0.361,1952ø
Chiapanecas,Viva!,Percy Faith & His Orchestra,139.4,0.438,0.361,1957ø
