With Or Without You,In The Name Of Love - Africa Celebrates U2,Les Nubians,228.7,0.648,0.378,2008ø
Voyager,Princesses Nubiennes,Les Nubians,268.9,0.648,0.378,1998ø
Temperature Rising 2 (Edit),One Step Forward,Les Nubians,219.8,0.648,0.378,2003ø
Temperature Rising 2,One Step Forward,Les Nubians,243.7,0.648,0.378,2003ø
Take T Interlude Lounge Intermezzo,One Step Forward,Les Nubians,87.4,0.648,0.378,2003ø
Sugar Cane,Princesses Nubiennes,Les Nubians,278.4,0.648,0.378,1998ø
Sourire,Princesses Nubiennes,Les Nubians,157.3,0.648,0.378,1998ø
Saravah,One Step Forward,Les Nubians,296.4,0.648,0.378,2003ø
Que Le Mot Soit Perle,One Step Forward,Les Nubians,309.4,0.648,0.378,2003ø
Princesse Nubienne,Princesses Nubiennes,Les Nubians,319.2,0.648,0.378,1998ø
One Step Forward,One Step Forward,Les Nubians,349.9,0.648,0.378,2003ø
Nu-Hymne,One Step Forward,Les Nubians,63.6,0.648,0.378,2003ø
Me & Me,One Step Forward,Les Nubians,295.1,0.648,0.378,2003ø
Makeda,Princesses Nubiennes,Les Nubians,295.0,0.648,0.378,1998ø
Les Portes Du Souvenir,Princesses Nubiennes,Les Nubians,300.3,0.648,0.378,1998ø
La Guerre,One Step Forward,Les Nubians,457.4,0.648,0.378,2003ø
J'veux D'la Musique (Tout Le Temps.),One Step Forward,Les Nubians,270.1,0.648,0.378,2003ø
Insomnie,One Step Forward,Les Nubians,260.8,0.648,0.378,2003ø
Immortel Cheikh Anta Diop,One Step Forward,Les Nubians,509.6,0.648,0.378,2003ø
Hymne Nubien (Interlude),Princesses Nubiennes,Les Nubians,73.3,0.648,0.378,1998ø
Embrasse-Moi,Princesses Nubiennes,Les Nubians,280.1,0.648,0.378,1998ø
El Son Reggae,One Step Forward,Les Nubians,232.1,0.648,0.378,2003ø
Demain Jazz,Princesses Nubiennes,Les Nubians,233.0,0.648,0.378,2001ø
Brothers & Sisters,One Step Forward,Les Nubians,258.6,0.648,0.378,2003ø
Bebela,Princesses Nubiennes,Les Nubians,287.2,0.648,0.378,1998ø
