Your red Nose,What She Doesn't Know,Nina Nastasia,109.1,0.448,0.427,2008ø
You Can Take Your Time,Outlaster,Nina Nastasia,288.6,0.682,0.427,2009ø
Wakes,Outlaster,Nina Nastasia,262.8,0.682,0.427,2010ø
This Familiar Way,Outlaster,Nina Nastasia,303.0,0.682,0.427,2010ø
Outlaster,Outlaster,Nina Nastasia,319.0,0.682,0.427,2010ø
Our Gang,Cry_ Cry_ Baby,Nina Nastasia,96.3,0.682,0.427,2010ø
Our Day Trip,Ilabel Presents Acoustic Chill - Compiled By Chris Coco - 23 Chilled Festival Folk Gems,Nina Nastasia,112.3,0.682,0.427,2006ø
One Way Out,Outlaster,Nina Nastasia,175.1,0.682,0.427,2010ø
Moves Away,Outlaster,Nina Nastasia,109.3,0.682,0.427,2010ø
Cry_ Cry_ Baby,Outlaster,Nina Nastasia,214.9,0.682,0.427,2010ø
A Kind Of Courage,Outlaster,Nina Nastasia,247.8,0.682,0.427,2010ø
There Is No Train,You Follow Me,Nina Nastasia,146.8,0.448,0.352,2007ø
Our Discussion,You Follow Me,Nina Nastasia,184.9,0.448,0.352,2007ø
Odd Said The Doe,You Follow Me,Nina Nastasia,192.7,0.448,0.352,2007ø
Late Night,You Follow Me,Nina Nastasia,239.8,0.448,0.352,2007ø
In The Evening,You Follow Me,Nina Nastasia,146.2,0.448,0.352,2007ø
I've Been Out Walking,You Follow Me,Nina Nastasia,198.2,0.448,0.352,2007ø
I Write Down Lists,You Follow Me,Nina Nastasia,194.9,0.448,0.352,2007ø
I Come After You,You Follow Me,Nina Nastasia,195.1,0.448,0.352,2007ø
How Will You Love Me,You Follow Me,Nina Nastasia,204.8,0.448,0.352,2007ø
