artist_familiarity,artist_hotttnesss,year
0.877,1,2004
0.846,1,2003
0.846,1,1998
0.877,1,2008
0.877,1,2009
0.877,1,2005
0.903,1,2001
0.877,1,2010
0.844,1,2007
0.903,1,2007
0.903,1,2003
0.877,1,2003
0.903,1,2005
0.846,1,2000
0.903,1,1997
0.877,1,2007
0.846,1,2005
0.903,1,1995
0.846,1,2009
0.903,1,1996
0.62,1,2005
0.903,1,1998
0.903,1,2000
0.846,1,2004
0.877,1,2006
0.846,1,2006
0.903,1,1994
0.844,0.997,2007
0.844,0.997,2000
0.877,0.972,2007
0.877,0.972,2006
0.877,0.972,2005
0.918,0.969,2006
0.918,0.969,2009
0.918,0.969,2008
0.918,0.969,2005
0.918,0.969,2007
0.629,0.969,2006
0.843,0.948,2004
0.843,0.948,2006
0.883,0.924,2009
0.918,0.924,2007
0.918,0.924,2005
0.883,0.924,2006
0.89,0.922,2010
0.89,0.922,2006
0.89,0.922,2008
0.89,0.922,2009
0.89,0.922,2007
0.834,0.922,2008
0.865,0.916,2001
0.865,0.916,2008
0.865,0.916,2003
0.865,0.916,2000
0.865,0.916,2005
0.865,0.916,2002
0.865,0.916,2009
0.865,0.916,2006
0.865,0.916,1998
0.865,0.916,1999
0.865,0.916,2007
0.867,0.911,1984
0.867,0.911,2009
0.867,0.911,2008
0.867,0.911,1973
0.918,0.908,2005
0.918,0.908,2009
0.918,0.908,2006
0.918,0.908,2007
0.867,0.9,2004
0.867,0.9,1972
0.867,0.9,1995
0.867,0.9,1973
0.855,0.9,1991
0.855,0.9,1986
0.867,0.9,1975
0.855,0.9,1982
0.855,0.9,2001
0.867,0.9,1984
0.855,0.9,1984
0.867,0.9,1982
0.867,0.9,2008
0.855,0.9,1997
0.855,0.9,1979
0.855,0.9,1972
0.855,0.9,1987
0.867,0.9,1992
0.855,0.9,1995
0.867,0.9,1979
0.855,0.9,1973
0.855,0.9,2007
0.867,0.9,1991
0.855,0.9,1999
0.853,0.886,2005
0.853,0.886,2009
0.787,0.886,2009
0.834,0.881,2008
0.834,0.881,2006
0.871,0.879,2000
0.871,0.879,2009
0.871,0.879,2002
0.871,0.879,1999
0.871,0.879,2006
0.871,0.879,2004
0.871,0.879,1998
0.871,0.879,2003
0.843,0.873,2008
0.843,0.873,2006
0.843,0.873,2004
0.843,0.873,2003
0.86,0.873,2008
0.843,0.873,2009
0.893,0.873,2008
0.893,0.873,2009
0.89,0.872,2008
0.89,0.872,2009
0.89,0.872,2006
0.89,0.872,2007
0.843,0.872,2004
0.843,0.872,2003
0.871,0.869,2009
0.871,0.869,2000
0.871,0.869,2004
0.886,0.869,2000
0.843,0.866,2008
0.842,0.866,2006
0.843,0.866,2004
0.81,0.857,2009
0.856,0.855,2002
