title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year,shs_perf,shs_work♣
-4,0+1=01,Cause For Effect,74.31791,0.418358469,0.288704244,2007,-1,0♣
-3,Small Vessel,SJ Esau,61.85751,0.538595699,0.335081217,2008,-1,0♣
-2,Small Vessel,SJ Esau,6.26893,0.538595699,0.335081217,2008,-1,0♣
-1,By The People_ For The People,Mudvayne,288.49587,0.815489947,0.561531978,2000,-1,0♣
-1,L.D. 50,Mudvayne,238.8371,0.815489947,0.555088098,2000,-1,0♣
-1,Small Vessel,SJ Esau,7.6273,0.538595699,0.335081217,2008,-1,0♣
0,Odelay - Deluxe Edition,Beck,324.5971,0.872757281,0.591087721,1997,-1,0♣
12:00 AM,All Fall Down,Against All Authority,158.35383,0.645184377,0.469529361,1998,-1,0♣
0,Grape Blueprints Pour Spinich Olive Grape,Dilute,658.38975,0.500074952,0.382448497,2002,-1,0♣
0,Crisis Tales,Curse Ov Dialect,149.89016,0.46049665,0.404254549,2009,-1,0♣
0,000 / Slippin,Xi,312.58077,0.442559326,0.372709864,2010,-1,0♣
0.00%,Confederacy Of Ruined Lives,Eyehategod,383.13751,0.676119551,0.390361787,2000,-1,0♣
1%,Viking,Lars Frederiksen And The Bastards,166.47791,0.643801521,0.390931178,2004,-1,0♣
0:15:00,Let's Get to Second,Chomsky,239.56853,0.453272669,0.320052125,2004,-1,0♣
0:54,76:14:00,Global Communication,72.41098,0.624586124,0.380207606,2005,-1,0♣
1:00,Entertainment Program For Humans (Second Variety),Servotron,31.18975,0.480775116,0.370380594,1998,-1,0♣
1:30,Sweet Tooth,The Bihlman Bros.,310.09914,0.406604157,0.269039806,2000,-1,0♣
7%,One Minute Science,Sunna,229.11955,0.453727959,0.347013228,2000,-1,0♣
0.071527778,All Hail The Dead,Walls Of Jericho,275.12118,0.753429747,0.445756061,2004,-1,0♣
1:51,Beat The Devils Tattoo,Black Rebel Motorcycle Club,334.23628,0.830676088,0.574741932,2010,-1,0♣
2:00 AM,More Deep Cuts,Thee More Shallows,291.86567,0.655558671,0.395079002,2004,-1,0♣
2:00 AM,2AM,Ticon,426.39628,0.617597237,0.358405987,2008,-1,0♣
2:01,Elastica,Elastica,152.0322,0.633030057,0.445498484,1994,-1,0♣
10%,Heartfelt,Tony Mason-Cox,124.682,0.212528649,0,1990,-1,0♣
10%,En Mana Kuoyo,Ayub Ogada,245.34159,0.566744182,0.423524795,1993,-1,0♣
2:30,The Undecided,The Undecided,113.31873,0.460402529,0.259765849,1999,-1,0♣
2:30 AM,Solo Piano,Tom Grant,254.85016,0.486022534,0.326528002,2004,-1,0♣
2:57,Eager Seas,Watashi Wa,297.19465,0.513737063,0.144684661,2006,-1,0♣
3:00 AM,Deus Ex Machina,Liv Kristine,302.88934,0.621061211,0.39960534,1998,-1,0♣
3:00 AM,Moodlex 24,Moodlex,13.89669,0.474729603,0.397377158,2004,-1,0♣
3:00 AM,Raven Cocaine Raps Vol 1.,Andre Nickatina,238.21016,0.687966205,0.48800156,2006,-1,0♣
3:00 AM,Recall 2003-2005,The SlimP,303.62077,0.458856765,0.360992287,2008,-1,0♣
3:30,Musiikkia TV 2:n Laulava sydÃ_n - ohjelmasta,Juice Leskinen,157.20444,0.5534682,0.429149837,1994,-1,0♣
3:38,Y,The Pop Group,222.85016,0.569733892,0.37951768,1979,-1,0♣
4:00 AM,This is Illumination,Illumination,394.97098,0.524196284,0.40105238,1999,-1,0♣
4:00 AM,Death of a Salesman,The Blue Bloods,116.4273,0.506891902,0.327190057,2004,-1,0♣
4:02,76:14:00,Global Communication,242.36363,0.624586124,0.380207606,2005,-1,0♣
4:12,Oh! Gravity.,Switchfoot,252.18567,0.795528672,0.6558041,2006,-1,0♣
4:14,76:14:00,Global Communication,254.30159,0.624586124,0.380207606,2005,-1,0♣
4:30 AM,Confesiones,Obie Bermudez,213.68118,0.605116355,0.347522827,2003,-1,0♣
4:30 AM,Domestic Songs,Solveig Slettahjell,192.73098,0.410801185,0.44026566,2007,-1,0♣
5:00 AM,Get In,Kenickie,240.27383,0.563515532,0.37113656,1998,-1,0♣
5:09,At Your Service,Morphine,190.77179,0.707446478,0.499046876,2009,-1,0♣
5:15 AM,Shangri-La,Mark Knopfler,354.06322,0.698248231,0.524019558,2004,-1,0♣
5:19,Everything In Between,Matt Wertz,187.61098,0.726971579,0.515889634,2006,-1,0♣
5:55,5:55,Charlotte Gainsbourg,292.23138,0.744007915,0.520049688,2006,-1,0♣
5:57,Totem,Auto-Auto,293.3024,0.469428818,0.355246246,2005,-1,0♣
25%,Signing Off,UB40,211.1473,0.757417813,0.563941252,1980,-1,0♣
6:00,Awake,Dream Theater,331.44118,0.842850011,0.579024236,1994,-1,0♣
6:00 AM,Moodlex 24,Moodlex,16.71791,0.474729603,0.397377158,2004,-1,0♣
6:06,LivenÃ_ Vieraissa,Olavi Uusivirta,221.54404,0.53594011,0.420314746,2008,-1,0♣
6:30,Mister Mental,The Eighties Matchbox B-Line Disaster,182.80444,0.625672205,0.374554188,2004,-1,0♣
6:36,Ratsafari,Mustasch,284.62975,0.6292143,0.492224126,2003,-1,0♣
7:00 AM,Moodlex 24,Moodlex,9.50812,0.474729603,0.397377158,2004,-1,0♣
0.291666667,The French Mademoiselle,Jacqueline TaÃ¯eb,123.95057,0.446865401,0.345488316,2002,-1,0♣
7:02,The Alcatraz Kid,Jeremy Messersmith,151.82322,0.582259191,0.516707721,2006,-1,0♣
7:30,The World Won'T End,Pernice Brothers,183.84934,0.534823281,0.365405949,2001,-1,0♣
7:39,76:14:00,Global Communication,459.54567,0.624586124,0.380207606,2005,-1,0♣
8:00 AM,Moodlex 24,Moodlex,13.68771,0.474729603,0.397377158,2004,-1,0♣
8:00 AM,This Is Where You Belong,The Summer Obsession,229.09342,0.634496285,0.395053039,2006,-1,0♣
8:05,Listen My Friends! The Best Of Moby Grape,Moby Grape,139.20608,0.618764674,0.396245662,1967,-1,0♣
8:07,76:14:00,Global Communication,490.65751,0.624586124,0.380207606,2005,-1,0♣
8:30,8:30,Weather Report,156.55138,0.693892802,0.417433507,1979,-1,0♣
9:00 AM,Trilogy - Deluxe,ATB,327.67955,0.790696466,0.508177085,2007,-1,0♣
9:15,Taste The Sand,Beatnik Termites,125.962,0.509768344,0.330436601,1995,-1,0♣
9:25,76:14:00,Global Communication,565.68118,0.624586124,0.380207606,2005,-1,0♣
9:39,76:14:00,Global Communication,577.61914,0.624586124,0.380207606,2005,-1,0♣
9:39,76:14:00,Global Communication,584.4371,0.624586124,0.380207606,2005,-1,0♣
